YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M,WD50M,T2MWET,T2M,QV2M,RH2M,PRECTOTCORR
2017,1,2,8,95.5,3.24,78.74,3.72,79.23,19.68,23.11,12.08,65.25,0
2017,1,2,9,95.49,3.01,76.65,3.39,75.71,20.52,25.69,11.47,52.88,0
2017,1,2,10,95.42,2.75,71.62,3.07,69.9,21.11,27.83,10.74,43.81,0
2017,1,2,11,95.3,2.53,67.71,2.81,65.57,21.46,29.43,10.13,37.62,0
2017,1,2,12,95.17,2.36,63.43,2.62,60.53,21.67,30.61,9.7,33.5,0
2017,1,2,13,95.06,2.29,58.1,2.55,54.46,21.69,31.32,9.28,30.75,0
2017,1,2,14,94.98,2.26,53.57,2.56,49.7,21.44,31.45,8.91,29.25,0
2017,1,2,15,94.97,2.27,52.7,2.61,48.64,20.94,30.98,8.61,29,0
2017,1,2,16,95.01,2.02,55.7,2.57,53.27,20.37,29.71,8.67,31.56,0
2017,1,2,17,95.08,1.37,72.08,2.25,70.49,20.38,26.31,10.86,48.19,0
2017,1,2,18,95.18,1.37,90,1.96,89.54,19.55,24.93,10.62,51.25,0
2017,1,2,19,95.28,1.21,104.57,1.64,104.63,19.11,24.47,10.38,51.38,0
2017,1,2,20,95.34,1.04,112.92,1.46,113,19.03,24.08,10.56,53.44,0
2017,1,2,21,95.35,1.1,106.5,1.6,106.14,18.25,22.94,10.25,55.75,0
2017,1,2,22,95.32,1.34,95.68,2.05,96.12,17.06,21.2,9.89,59.62,0
2017,1,2,23,95.28,1.65,89.46,2.67,91.17,16.12,19.67,9.64,64.06,0
2017,1,3,0,95.24,1.88,86.19,3.24,88.75,15.41,18.51,9.46,67.62,0
2017,1,3,1,95.19,1.95,82.87,3.63,85.93,14.9,17.59,9.4,71.06,0
2017,1,3,2,95.16,1.92,79.19,3.73,82.55,14.63,16.97,9.46,74.31,0
2017,1,3,3,95.16,1.85,74.85,3.54,78.94,14.51,16.57,9.58,77.19,0
2017,1,3,4,95.2,1.77,67.63,3.27,71.78,14.45,16.25,9.7,80,0
2017,1,3,5,95.26,1.69,58.44,3.06,61.6,14.65,16.12,10.07,83.5,0
2017,1,3,6,95.34,1.85,56.51,3.15,58.28,15.3,16.83,10.44,82.94,0
2017,1,3,7,95.44,2.94,65.68,3.55,67.61,17.31,19.75,11.17,73.88,0
2017,1,3,8,95.49,3.67,72.26,4.29,71.76,18.73,22.92,10.93,59.44,0
2017,1,3,9,95.47,3.84,68.65,4.42,66.88,19.37,26.11,9.64,43.44,0
2017,1,3,10,95.4,3.63,61.56,4.15,58.8,19.8,28.49,8.73,34.12,0
2017,1,3,11,95.27,3.24,53.24,3.69,49.64,20.05,30.28,8,28.25,0
2017,1,3,12,95.13,2.85,45,3.29,40.47,20.11,31.53,7.39,24.31,0
2017,1,3,13,95,2.58,36.87,3.03,31.93,19.96,32.26,6.9,21.75,0
2017,1,3,14,94.92,2.41,33.64,2.87,28.59,19.6,32.39,6.53,20.38,0
2017,1,3,15,94.89,2.28,36.91,2.73,31.92,19.05,31.92,6.23,20,0
2017,1,3,16,94.92,1.71,45,2.39,41.56,19.06,30.42,7.02,24.62,0
2017,1,3,17,94.98,1.22,74,1.73,71.32,18.76,26.6,8.61,37.62,0
2017,1,3,18,95.06,1.06,105.37,1.43,106.55,17.61,25,8.24,39.69,0
2017,1,3,19,95.15,0.94,128.96,1.26,132.23,17.12,24.48,8.06,40.06,0
2017,1,3,20,95.23,0.89,131.8,1.2,133.95,16.39,23.4,7.93,42.06,0
2017,1,3,21,95.28,1.01,115.58,1.45,115.6,15.83,21.75,8.18,48,0
2017,1,3,22,95.29,1.35,101.38,2,101.27,15.18,20.33,8.24,52.75,0
2017,1,3,23,95.29,1.73,96.48,2.67,96.71,14.28,18.8,8.12,57.06,0
2017,1,4,0,95.25,1.94,95.55,3.08,95.52,13.4,17.66,7.81,58.75,0
2017,1,4,1,95.2,1.96,94.12,3.24,94.42,12.76,16.86,7.51,59.56,0
2017,1,4,2,95.15,1.81,90.74,3.17,91.83,12.37,16.29,7.32,60.44,0
2017,1,4,3,95.14,1.69,85.21,2.97,87.44,12.08,15.85,7.26,61.25,0
2017,1,4,4,95.15,1.55,79.82,2.74,82.29,11.8,15.35,7.2,62.69,0
2017,1,4,5,95.2,1.47,75.52,2.56,78,11.76,15.11,7.26,64.31,0
2017,1,4,6,95.27,1.41,70.86,2.47,74.03,12.44,15.73,7.63,64.94,0
2017,1,4,7,95.36,2.05,75.65,2.54,78.48,14.83,19.55,8.12,54.5,0
2017,1,4,8,95.43,2.6,88.28,2.98,89.4,16.84,23.44,8.18,43.19,0
2017,1,4,9,95.41,2.52,84.84,2.79,83.89,18.05,26.54,7.81,34.31,0
2017,1,4,10,95.34,2.34,74.71,2.55,72.01,18.98,28.8,7.63,29.25,0
2017,1,4,11,95.22,2.17,66.02,2.37,61.83,19.63,30.4,7.45,26.12,0
2017,1,4,12,95.08,1.96,62.52,2.15,57,19.99,31.48,7.26,24,0
2017,1,4,13,94.96,1.78,61.07,1.96,54.09,20.11,32.07,7.14,22.69,0
2017,1,4,14,94.89,1.7,57.19,1.92,49.63,19.95,32.12,6.96,22,0
2017,1,4,15,94.88,1.67,54.31,1.92,46.65,19.51,31.57,6.77,22.19,0
2017,1,4,16,94.91,1.37,61.68,1.8,58.31,19.17,30.13,7.2,25.5,0
2017,1,4,17,94.97,1.2,100.14,1.67,102.41,19.14,26.44,9.16,40.31,0
2017,1,4,18,95.05,1.34,133.82,1.87,139.24,18.07,24.81,8.91,43.06,0
2017,1,4,19,95.14,1.37,157.53,1.98,161.14,17.63,23.78,9.03,46.56,0
2017,1,4,20,95.2,1.3,164.29,1.91,166.25,17.23,22.58,9.28,51.5,0
2017,1,4,21,95.21,1.25,145.21,1.82,146.04,16.8,21.62,9.34,55.06,0
2017,1,4,22,95.21,1.53,116.96,2.35,116.82,16.24,20.26,9.52,60.88,0
2017,1,4,23,95.21,2,101.97,3.35,102.12,15.67,18.88,9.64,67.12,0
2017,1,5,0,95.18,2.19,96.77,3.93,97.2,15.25,17.98,9.64,71.06,0
2017,1,5,1,95.13,2.07,92.81,3.86,93.25,15,17.37,9.64,74.12,0
2017,1,5,2,95.1,1.97,85.46,3.54,85.45,14.86,16.96,9.7,76.44,0
2017,1,5,3,95.11,1.86,76.61,3.3,76.85,14.93,16.78,9.89,78.69,0
2017,1,5,4,95.15,1.79,67.92,3.16,69.15,15.07,16.62,10.19,81.81,0
2017,1,5,5,95.2,1.81,62.44,3.19,64.31,15.2,16.33,10.56,86.44,0
2017,1,5,6,95.29,1.83,62.23,3.16,63.75,15.8,16.94,10.93,86.31,0
2017,1,5,7,95.39,2.88,68.03,3.53,68.6,17.65,19.91,11.47,75.12,0
2017,1,5,8,95.45,3.49,73.23,4.11,71.84,19.12,23.09,11.29,60.88,0
2017,1,5,9,95.42,3.56,71.6,4.12,69.13,20.07,26.02,10.56,47.81,0
2017,1,5,10,95.32,3.45,68.61,3.95,65.61,20.71,28.34,9.89,39,0
2017,1,5,11,95.18,3.22,67.48,3.65,63.87,21.07,30.14,9.22,32.75,0
2017,1,5,12,95.03,2.99,68.53,3.37,64.57,21.12,31.35,8.61,28.5,0
2017,1,5,13,94.9,2.78,70.14,3.12,65.62,20.92,31.98,8,25.62,0
2017,1,5,14,94.83,2.63,70.76,2.93,65.9,20.46,31.97,7.57,24.12,0
2017,1,5,15,94.83,2.47,72.71,2.76,67.87,19.82,31.36,7.2,23.88,0
2017,1,5,16,94.87,2.05,79.46,2.66,77.8,19.3,29.86,7.45,26.94,0
2017,1,5,17,94.95,1.69,101.21,2.7,102.35,18.6,25.57,9.03,41.88,0
2017,1,5,18,95.04,1.77,117.58,2.6,121.88,17.62,23.87,8.91,45.75,0
2017,1,5,19,95.13,1.57,131.16,2.27,136.68,17.33,23.28,8.97,47.62,0
2017,1,5,20,95.18,1.35,137.35,1.91,143.32,17.03,22.62,9.03,50.06,0
2017,1,5,21,95.2,1.24,130.64,1.73,135.18,16.62,21.63,9.16,54,0
2017,1,5,22,95.17,1.33,117.32,1.94,118.83,16.01,20.29,9.28,59.25,0
2017,1,5,23,95.15,1.56,104.25,2.39,104.22,15.3,18.97,9.22,63.94,0
2017,1,6,0,95.11,1.74,92.58,2.75,92.77,14.69,17.94,9.09,67.31,0
2017,1,6,1,95.05,1.78,83.44,2.98,84.27,14.25,17.13,9.03,70.25,0
2017,1,6,2,95.03,1.78,78.64,3.03,79.15,13.96,16.56,8.97,72.31,0
2017,1,6,3,95.05,1.76,73.74,2.97,74.61,13.75,16.12,8.91,74.06,0
2017,1,6,4,95.08,1.76,67.87,2.92,69.68,13.64,15.75,8.97,76.19,0
2017,1,6,5,95.16,1.74,62.97,2.87,64.55,13.73,15.62,9.09,78.19,0
2017,1,6,6,95.26,1.76,60.13,2.9,62.19,14.33,16.3,9.4,77.38,0
2017,1,6,7,95.37,2.71,70.78,3.26,73.87,16.5,19.15,10.38,71.38,0
2017,1,6,8,95.43,3.12,82.09,3.59,83.25,18.44,22.42,10.8,60.62,0
2017,1,6,9,95.4,3.02,83.46,3.4,83.53,19.57,25.4,10.31,48.38,0
2017,1,6,10,95.32,2.82,80.93,3.12,80.04,20.37,27.78,9.77,39.94,0
2017,1,6,11,95.19,2.51,78.13,2.72,76.56,20.83,29.52,9.28,34.19,0
2017,1,6,12,95.04,2.17,76.87,2.31,74.69,21.01,30.76,8.79,30.06,0
2017,1,6,13,94.93,1.86,77.6,1.95,74.4,20.93,31.43,8.3,27.44,0
2017,1,6,14,94.85,1.49,78.81,1.55,73.86,20.65,31.54,7.93,26.06,0
2017,1,6,15,94.84,1.16,80.73,1.21,74.26,20.18,30.98,7.75,26.25,0
2017,1,6,16,94.88,0.79,96.22,0.95,94.25,19.8,29.63,8.12,29.56,0
2017,1,6,17,94.94,0.72,147,1.03,149.93,19.76,26.9,9.64,41.31,0
2017,1,6,18,95.03,1.21,204.08,1.8,206.79,18.65,25.05,9.46,45.31,0
2017,1,6,19,95.12,1.99,228.18,3.2,229.66,18.07,23.08,10.01,53.81,0
2017,1,6,20,95.17,2.28,236.47,4.02,237.2,17.92,21.69,10.74,62.88,0
2017,1,6,21,95.19,2.2,237.33,4.02,237.7,18.06,20.88,11.54,70.88,0
2017,1,6,22,95.16,1.95,234.97,3.47,235.38,18.19,20.36,12.15,77,0
2017,1,6,23,95.12,1.46,225,2.39,225.93,18.33,20.16,12.45,80.12,0
2017,1,7,0,95.07,0.82,177.82,1.2,180,18.29,20.1,12.45,80.31,0
2017,1,7,1,95.02,1.3,108.98,1.99,108.79,17.62,19.19,12.15,82.81,0
2017,1,7,2,94.97,1.63,94.67,3.2,94.76,17.08,18.65,11.72,82.62,0
2017,1,7,3,94.96,2.04,86.49,3.73,88.68,16.69,18.44,11.29,80.75,0
2017,1,7,4,95,2.47,81.82,3.78,84.07,16.33,18.12,10.99,80.12,0
2017,1,7,5,95.06,2.57,81.08,3.66,82.77,16.05,17.75,10.8,80.88,0
2017,1,7,6,95.14,2.65,78.42,3.35,79.5,16.05,17.66,10.86,81.5,0
2017,1,7,7,95.22,2.94,80.66,3.41,82.63,17.21,19.38,11.23,75.88,0
2017,1,7,8,95.26,2.77,84,3.01,85.24,18.71,22.08,11.47,65.62,0
2017,1,7,9,95.23,2.07,78.22,2.16,77.27,20.03,24.87,11.35,54.94,0
2017,1,7,10,95.16,1.64,62.46,1.75,57.59,20.98,27.41,10.86,45.25,0
2017,1,7,11,95.03,1.53,50.61,1.7,44.07,21.38,29.41,10.07,37.38,0
2017,1,7,12,94.88,1.41,47.92,1.58,39.37,21.49,30.87,9.34,31.69,0
2017,1,7,13,94.75,1.2,50.29,1.34,39.81,21.37,31.69,8.73,28.25,0
2017,1,7,14,94.66,1.05,60.57,1.14,48.33,21.03,31.86,8.24,26.44,0
2017,1,7,15,94.62,1.06,76.78,1.09,66,20.48,31.32,7.93,26.31,0
2017,1,7,16,94.64,1.01,96.63,1.27,95.29,19.94,29.87,8.18,29.31,0
2017,1,7,17,94.69,1.14,122.92,1.7,125.08,19.42,26.36,9.58,42.31,0
2017,1,7,18,94.78,1.2,142.39,1.71,147.11,18.42,24.95,9.28,44.44,0
2017,1,7,19,94.88,1.11,168.61,1.6,173.26,18.01,24.08,9.34,47.19,0
2017,1,7,20,94.94,1.16,194.04,1.72,198.02,17.58,22.9,9.52,51.81,0
2017,1,7,21,94.95,1.23,204.78,1.8,208.01,17.33,22.04,9.77,56,0
2017,1,7,22,94.94,1.08,195.04,1.58,197,17.08,21.03,10.13,61.62,0
2017,1,7,23,94.94,1.04,154.78,1.5,155.31,16.83,20.23,10.31,66.12,0
2017,1,8,0,94.92,1.53,120.11,2.38,120.19,16.2,18.86,10.38,72.38,0
2017,1,8,1,94.9,1.88,107.68,3.35,107.63,15.67,17.76,10.38,77.44,0
2017,1,8,2,94.89,1.93,102.13,3.57,102.52,15.38,17.12,10.38,80.56,0
2017,1,8,3,94.9,1.86,97.96,3.48,98.38,15.19,16.62,10.44,83.5,0
2017,1,8,4,94.95,1.7,94.22,3.38,94.11,15.19,16.46,10.5,85.06,0
2017,1,8,5,95.02,1.64,88.64,3.16,89.01,15.11,16.15,10.56,87.5,0
2017,1,8,6,95.09,1.75,80.5,2.84,82.41,15.33,16.52,10.62,85.88,0
2017,1,8,7,95.16,2.35,83.13,2.75,86.75,16.75,19.12,10.74,73.94,0
2017,1,8,8,95.21,2.38,89.81,2.64,92.37,18.37,22.37,10.74,60.5,0
2017,1,8,9,95.18,2.4,90,2.66,91.34,19.51,25.23,10.38,49.06,0
2017,1,8,10,95.09,2.59,86.37,2.87,86.25,20.27,27.73,9.77,39.75,0
2017,1,8,11,94.98,2.73,83.77,3.01,83.3,20.73,29.7,9.09,33.06,0
2017,1,8,12,94.84,2.75,84.61,3,83.87,20.83,31.01,8.42,28.5,0
2017,1,8,13,94.72,2.61,86.57,2.84,85.9,20.65,31.67,7.93,25.69,0
2017,1,8,14,94.64,2.43,88.34,2.64,87.97,20.22,31.62,7.51,24.38,0
2017,1,8,15,94.62,2.26,89.8,2.47,89.27,19.59,30.92,7.2,24.38,0
2017,1,8,16,94.64,1.92,91.16,2.33,92.11,18.88,29.44,7.26,26.69,0
2017,1,8,17,94.71,1.34,96.04,2.13,98.43,18.15,25.43,8.61,40.12,0
2017,1,8,18,94.8,1.21,104.93,1.69,111.36,17.37,23.84,8.67,44.31,0
2017,1,8,19,94.9,0.97,122.15,1.32,130.93,17.2,23.45,8.73,45.75,0
2017,1,8,20,94.95,0.91,146.17,1.27,150.91,17.12,22.94,8.91,48.44,0
2017,1,8,21,94.96,1.06,143.38,1.5,143.91,16.6,21.81,8.97,52.19,0
2017,1,8,22,94.95,1.47,125.04,2.24,124.63,15.87,20.31,9.03,57.5,0
2017,1,8,23,94.93,1.99,112.14,3.42,112.58,15.07,18.76,8.97,62.94,0
2017,1,9,0,94.92,2.26,104.42,4.43,105.65,14.53,17.73,8.91,66.75,0
2017,1,9,1,94.89,2.25,98.78,4.85,99.74,14.26,16.94,9.03,71,0
2017,1,9,2,94.88,2.21,91.62,4.69,92.77,14.12,16.32,9.22,75.31,0
2017,1,9,3,94.9,2.13,83.03,4.38,84.47,14.01,15.72,9.4,80,0
2017,1,9,4,94.94,1.95,74.91,4.03,76.45,14.16,15.65,9.64,82.38,0
2017,1,9,5,95.02,1.84,68.88,3.73,70.31,14.32,15.44,10.01,86.38,0
2017,1,9,6,95.11,2.14,64.74,3.37,66.05,14.8,15.9,10.31,86.81,0
2017,1,9,7,95.22,3.29,69.84,4,71.42,16.4,18.48,10.74,76.69,0
2017,1,9,8,95.29,3.81,79.24,4.38,80.03,17.76,21.51,10.5,62.25,0
2017,1,9,9,95.27,3.6,84.39,3.99,84.61,18.78,24.48,9.89,49,0
2017,1,9,10,95.2,3.19,86.63,3.47,86.25,19.55,27.01,9.28,39.5,0
2017,1,9,11,95.08,2.71,88.02,2.91,87.23,20,28.86,8.73,33.31,0
2017,1,9,12,94.94,2.25,89.8,2.38,88.87,20.3,30.15,8.3,29.5,0
2017,1,9,13,94.82,1.84,91.22,1.92,90.23,20.38,30.87,8.06,27.31,0
2017,1,9,14,94.74,1.56,90.57,1.63,89.17,20.18,31.01,7.75,26.12,0
2017,1,9,15,94.73,1.36,90.33,1.41,88.73,19.65,30.47,7.51,26.06,0
2017,1,9,16,94.75,1.13,93.18,1.31,93.77,19.01,29.18,7.51,28.12,0
2017,1,9,17,94.8,0.88,106.02,1.29,110.96,18.43,25.76,8.73,39.94,0
2017,1,9,18,94.88,0.72,132.81,1.03,147.76,17.61,24.65,8.48,41.38,0
2017,1,9,19,94.97,0.78,194.45,1.26,203.06,17.42,23.97,8.67,44.19,0
2017,1,9,20,95.02,1.32,231.5,2.07,235.77,16.8,22.53,8.79,48.81,0
2017,1,9,21,95.03,1.74,247,2.75,250.07,16.3,21.05,9.09,55.25,0
2017,1,9,22,95.01,1.81,253.68,2.87,256.3,16.06,19.94,9.46,61.62,0
2017,1,9,23,95,1.53,258.23,2.36,261.63,16.09,19.48,9.77,65.62,0
2017,1,10,0,94.96,0.94,270.48,1.39,275.81,16.19,19.44,9.95,66.94,0
2017,1,10,1,94.92,0.43,354.81,0.71,356.23,16.12,19.43,9.89,66.31,0
2017,1,10,2,94.9,1.13,54,1.68,52.76,15.21,18.08,9.58,69.88,0
2017,1,10,3,94.93,1.66,65.24,2.61,65.43,14.33,16.92,9.22,72.31,0
2017,1,10,4,95,1.91,69.2,3.26,69.83,13.64,16.1,8.85,73.25,0
2017,1,10,5,95.09,1.98,71.57,3.59,72.79,13.13,15.55,8.54,73.44,0
2017,1,10,6,95.2,2.09,72.38,3.63,73.24,13.28,16.01,8.42,70.19,0
2017,1,10,7,95.31,2.85,76.69,3.32,79.27,15.05,18.93,8.73,60.69,0
2017,1,10,8,95.36,2.67,86.64,2.89,88.45,17.14,22.26,9.22,52.19,0
2017,1,10,9,95.34,2.02,87.78,2.06,89.13,18.83,25.5,9.34,43.5,0
2017,1,10,10,95.26,1.46,81.7,1.42,81.78,19.87,27.97,9.09,36.56,0
2017,1,10,11,95.13,0.97,75.52,0.87,72.86,20.33,29.8,8.54,31.06,0
2017,1,10,12,94.98,0.43,76.46,0.28,65.56,20.51,30.99,8.12,27.44,0
2017,1,10,13,94.83,0.19,221.63,0.36,249.59,20.55,31.64,7.81,25.44,0
2017,1,10,14,94.76,0.89,236.03,1.11,243.79,20.36,31.68,7.63,24.69,0
2017,1,10,15,94.75,1.59,239.66,1.87,243.76,19.98,31.14,7.51,25.12,0
2017,1,10,16,94.79,2.11,243.15,2.64,243.06,19.57,29.76,7.81,28.25,0
2017,1,10,17,94.87,2.01,238.85,3.38,240.53,18.74,26.01,8.97,40.31,0
2017,1,10,18,94.97,2.38,240.07,4.32,241.81,17.78,23.8,9.16,47.12,0
2017,1,10,19,95.09,2.54,243.91,5.08,244.89,17.65,22.61,9.77,54.06,0
2017,1,10,20,95.16,2.57,249.75,5.33,250.29,17.91,21.64,10.8,63.31,0
2017,1,10,21,95.16,2.34,255.92,4.84,255.69,18.19,20.66,11.9,74.06,0
2017,1,10,22,95.12,1.99,262.79,4.1,261.9,18.32,19.71,12.76,84.31,0
2017,1,10,23,95.07,1.66,270,3.24,267.79,18.21,18.88,13.24,92.06,0
2017,1,11,0,95.02,1.47,279.51,2.65,277.46,17.96,18.27,13.37,96.25,0
2017,1,11,1,94.96,1.25,293.2,2.05,292.37,17.67,17.82,13.24,98.31,0
2017,1,11,2,94.94,0.99,312.12,1.56,313.58,17.44,17.57,13.06,98.56,0
2017,1,11,3,94.97,0.85,343.4,1.35,345.56,17.25,17.49,12.82,97.25,0
2017,1,11,4,95.02,0.96,16.52,1.48,16.53,16.9,17.25,12.45,95.88,0
2017,1,11,5,95.11,1.17,36.56,1.78,37.52,16.39,16.77,12.02,95.62,0
2017,1,11,6,95.22,1.31,49.1,2.05,50.25,16.35,17.17,11.66,90.44,0
2017,1,11,7,95.32,1.62,69.99,1.81,74.77,17.79,20.23,11.47,73.75,0
2017,1,11,8,95.37,1.5,103.24,1.62,105.91,19.28,23.52,11.23,58.94,0
2017,1,11,9,95.36,1.37,114.23,1.45,115.46,20.35,26.34,10.74,47.69,0
2017,1,11,10,95.28,1.23,108.55,1.28,108.88,21.08,28.58,10.25,39.81,0
2017,1,11,11,95.14,1.12,99.66,1.15,98.63,21.39,30.01,9.7,34.75,0
2017,1,11,12,95,1.01,93.11,1.02,91.75,21.52,30.88,9.34,31.75,0
2017,1,11,13,94.87,0.9,91.49,0.89,89.5,21.58,31.36,9.09,30.12,0
2017,1,11,14,94.8,0.73,88.17,0.71,84.98,21.39,31.38,8.91,29.31,0
2017,1,11,15,94.79,0.66,89.32,0.65,86.55,20.9,30.79,8.67,29.56,0
2017,1,11,16,94.84,0.51,105.1,0.61,107.05,20.23,29.5,8.61,31.75,0
2017,1,11,17,94.92,0.24,153.43,0.52,142.28,19.9,26.96,9.77,41.69,0
2017,1,11,18,95,0.46,202.17,0.75,204.69,19.15,25.48,9.77,45.44,0
2017,1,11,19,95.09,0.96,223.68,1.62,229.88,18.64,24.48,9.77,48.25,0
2017,1,11,20,95.14,1.42,234.65,2.51,239.77,18.13,23.33,9.89,52.31,0
2017,1,11,21,95.14,1.66,240.29,2.91,243.37,17.68,22.01,10.13,58.38,0
2017,1,11,22,95.12,1.66,239.82,2.82,241.95,17.42,20.94,10.56,64.62,0
2017,1,11,23,95.09,1.45,233.13,2.32,233.63,17.35,20.28,10.93,69.56,0
2017,1,12,0,95.04,1.06,215.44,1.62,215.6,17.35,19.92,11.17,72.81,0
2017,1,12,1,94.98,0.74,175.74,1.09,176.3,17.26,19.55,11.29,75.25,0
2017,1,12,2,94.95,0.84,136.51,1.25,136.77,16.99,19.01,11.29,77.88,0
2017,1,12,3,94.97,0.98,121.28,1.52,119.6,16.75,18.55,11.23,79.81,0
2017,1,12,4,95,1.06,109.37,1.66,107.58,16.55,18.26,11.17,80.81,0
2017,1,12,5,95.07,1.13,100.77,1.81,100.97,16.37,17.94,11.11,82,0
2017,1,12,6,95.17,1.2,98.24,1.95,99.46,16.58,18.36,11.11,79.88,0
2017,1,12,7,95.26,1.58,118.72,1.87,126.68,18.25,21.13,11.47,69.56,0
2017,1,12,8,95.31,1.9,148.59,2.24,152.54,19.73,23.94,11.6,59.19,0
2017,1,12,9,95.29,1.84,149.95,2.09,152.09,20.51,26.3,10.99,48.94,0
2017,1,12,10,95.2,1.57,145.76,1.75,147.37,21.05,28.34,10.31,40.69,0
2017,1,12,11,95.07,1.25,145.42,1.38,146.76,21.44,30.01,9.77,34.94,0
2017,1,12,12,94.93,0.92,155.39,1.02,156.97,21.65,31.11,9.34,31.38,0
2017,1,12,13,94.79,0.72,176.27,0.8,177.75,21.73,31.76,9.09,29.31,0
2017,1,12,14,94.7,0.76,194.32,0.82,194.97,21.61,31.9,8.85,28.31,0
2017,1,12,15,94.69,0.87,205.42,0.95,206.35,21.05,31.12,8.67,29,0
2017,1,12,16,94.72,1.02,218.45,1.18,217.71,20.32,29.69,8.67,31.44,0
2017,1,12,17,94.78,0.94,229.71,1.5,232.83,19.9,27.11,9.7,41,0
2017,1,12,18,94.87,1.12,235.76,2.05,243.53,19.34,25.62,9.95,45.81,0
2017,1,12,19,94.99,1.41,240.45,2.73,247.77,19.06,24.66,10.19,49.88,0
2017,1,12,20,95.07,1.73,245.41,3.27,249.44,18.76,23.56,10.56,55.19,0
2017,1,12,21,95.09,1.86,247.31,3.44,249.55,18.39,22.37,10.93,61.12,0
2017,1,12,22,95.08,1.7,246.14,3.23,248.15,18.14,21.31,11.29,67.56,0
2017,1,12,23,95.07,1.44,242.18,2.5,243.84,18.03,20.61,11.66,72.75,0
2017,1,13,0,95.03,0.91,234.81,1.42,237.09,18.05,20.31,11.9,75.56,0
2017,1,13,1,94.97,0.24,207.41,0.32,212.91,17.96,20.01,11.96,77.5,0
2017,1,13,2,94.93,0.43,79.51,0.71,79.92,17.87,19.81,12.02,78.69,0
2017,1,13,3,94.95,0.91,69.85,1.55,71.47,17.65,19.33,12.02,81.06,0
2017,1,13,4,95,1.25,66.8,2.26,68.31,17.4,18.84,11.96,83.44,0
2017,1,13,5,95.07,1.48,65.33,2.8,66.8,17.17,18.34,11.96,86.19,0
2017,1,13,6,95.16,1.95,65.69,3.11,66.33,17.47,18.81,12.08,84.31,0
2017,1,13,7,95.24,2.7,74.92,3.11,77.08,18.8,21.02,12.39,75.62,0
2017,1,13,8,95.28,2.59,88.27,2.87,89.53,20.06,23.7,12.27,63.62,0
